Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
sales manager,Yomeya for Digital applications (U100),"Zamalek, Cairo, Egypt",1 hour ago,Full Time,Manager · 7 - 10 Yrs of Exp · Sales/Retail· business· Sales Management· Sales· sales skills,https://wuzzuf.net/jobs/p/XLKiYUS5bItj-Dynamics-AX365-Functional-Consultant-Sky-Holding-Cairo-Egypt?o=9001&l=sp&t=sj&a=search-v3|hpb
Senior Market Researcher (Qual & Quant),TRANSSION HOLDINGS,"Cairo, Egypt",1 hour ago,Full Time,Experienced · 3 - 5 Yrs of Exp · Analyst/Research· Market Research· Management· English· Research· Qualitative Research· Quantitative Research· research methodologies· Technology,https://wuzzuf.net/jobs/p/Y5zx82cqoWbg-Graphic-Designer-Matrix-Sports-Club-Gharbia-Egypt?o=9002&l=sp&t=sj&a=search-v3|hpb
HR Recruiter Intern,Infinity Business Solutions,"Maadi, Cairo, Egypt",1 hour ago,Internship,Entry Level · Administration · Human Resources · Fashion· Communication skills· Fresh Graduates· English· Recruitment· Skills· Human Resources (HR)· Microsoft Office,https://wuzzuf.net/jobs/p/lMERKeNp84w7-Site-Manager-North-Coast-LA-VISTA-Developments-Alexandria-Egypt?o=9003&l=sp&t=sj&a=search-v3|hpb
Executive Secretary – Alexandria,Capital logistics,"Mahta Alraml, Alexandria, Egypt",1 hour ago,Full Time,Experienced · 3+ Yrs of Exp · females_only · Administration· Administration· Microsoft Office· Office management· Secretary· Communication· Executive Management,https://wuzzuf.net/jobs/p/P5Ex5PRyQeHB-Senior-Reactjs-Developer-Alexandria-Egypt?o=9004&l=sp&t=sj&a=search-v3|hpb
Senior Accountant- Riyadh,Confidential,"Riyadh, Saudi Arabia",1 hour ago,Full Time,Experienced · 3 - 10 Yrs of Exp · males_only · Accounting/Finance· Accounting· Finance· Financial Analysis· Cost Accounting· Accounting Reports· Financial Management,https://wuzzuf.net/jobs/p/6yKJ0w75r2P6-Treasury-Accountant-Hikma-Pharmaceuticals-Giza-Egypt?o=9005&l=sp&t=sj&a=search-v3|hpb
Personnel Executive,Confidential,"10th of Ramadan City, Sharqia, Egypt",1 hour ago,Full Time,Experienced · 2 - 5 Yrs of Exp · Human Resources· Personnel· Human Resources (HR),https://wuzzuf.net/jobs/p/c0XN3e9kmOmz-Marketing-Coordinator-Cairo-Egypt?o=9006&l=sp&t=sj&a=search-v3|hpb
Senior Java Developer,Confidential,"New Cairo, Cairo, Egypt",1 hour ago,Full Time,Experienced · 4 - 12 Yrs of Exp · IT/Software Development· JSF· JSP· Information Technology (IT)· Computer Science,https://wuzzuf.net/jobs/p/OCKAD9FY7cTW-Junior-Architect-Engineer-Ibdaa-Architectural-Office-Cairo-Egypt?o=9007&l=sp&t=sj&a=search-v3|hpb
Senior Medical Sales,Sky Medical for Medical Devices,"Mahta Alraml, Alexandria, Egypt",1 hour ago,Full Time,Experienced · 5+ Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical· Sales· Sales Target· Wholesale· Skills· Communication· Customer Service· Management,https://wuzzuf.net/jobs/p/o1znT3a3ruU6-Storekeeper-Warehousing-New-Capital-LA-VISTA-Developments-Cairo-Egypt?o=9008&l=sp&t=sj&a=search-v3|hpb
Warehouse Keeper,Sky Medical for Medical Devices,"Heliopolis, Cairo, Egypt",1 hour ago,Full Time,Entry Level · 3 - 5 Yrs of Exp · males_preferred · Logistics/Supply Chain· Warehousing· Warehouse keeper· Logistics· Inventory,https://wuzzuf.net/jobs/p/1XMrwDqzbJ2Z-Powerpoint-Presentation-Designer-Cairo-Egypt?o=9009&l=sp&t=sj&a=search-v3|hpb
Junior Implementation Specialist,Confidential,"Cairo, Egypt",1 hour ago,Full Time,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Medical/Healthcare· Computer Science· Information Technology (IT)· SQL· Nursing· LIS· RIS· Pharmacy information system· PHM,https://wuzzuf.net/jobs/p/zZZviKGaJRMG-Senior-iOS-Developer-Sarmady-Giza-Egypt?o=9010&l=sp&t=sj&a=search-v3|hpb
