,Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Time,Month Or Hours
0,sales manager,Yomeya for Digital applications (U100),"Zamalek, Cairo, Egypt",1 hour ago,Full,Manager · 7 - 10 Yrs of Exp · Sales/Retail· business· Sales Management· Sales· sales skills,1,hour
1,Senior Market Researcher (Qual & Quant),TRANSSION HOLDINGS,"Cairo, Egypt",1 hour ago,Full,Experienced · 3 - 5 Yrs of Exp · Analyst/Research· Market Research· Management· English· Research· Qualitative Research· Quantitative Research· research methodologies· Technology,1,hour
2,HR Recruiter Intern,Infinity Business Solutions,"Maadi, Cairo, Egypt",1 hour ago,Internship,Entry Level · Administration · Human Resources · Fashion· Communication skills· Fresh Graduates· English· Recruitment· Skills· Human Resources (HR)· Microsoft Office,1,hour
3,Executive Secretary – Alexandria,Capital logistics,"Mahta Alraml, Alexandria, Egypt",1 hour ago,Full,Experienced · 3+ Yrs of Exp · females_only · Administration· Administration· Microsoft Office· Office management· Secretary· Communication· Executive Management,1,hour
4,Senior Accountant- Riyadh,Confidential,"Riyadh, Saudi Arabia",1 hour ago,Full,Experienced · 3 - 10 Yrs of Exp · males_only · Accounting/Finance· Accounting· Finance· Financial Analysis· Cost Accounting· Accounting Reports· Financial Management,1,hour
5,Personnel Executive,Confidential,"10th of Ramadan City, Sharqia, Egypt",1 hour ago,Full,Experienced · 2 - 5 Yrs of Exp · Human Resources· Personnel· Human Resources (HR),1,hour
6,Senior Java Developer,Confidential,"New Cairo, Cairo, Egypt",1 hour ago,Full,Experienced · 4 - 12 Yrs of Exp · IT/Software Development· JSF· JSP· Information Technology (IT)· Computer Science,1,hour
7,Senior Medical Sales,Sky Medical for Medical Devices,"Mahta Alraml, Alexandria, Egypt",1 hour ago,Full,Experienced · 5+ Yrs of Exp · Medical/Healthcare · Sales/Retail · Pharmaceutical· Sales· Sales Target· Wholesale· Skills· Communication· Customer Service· Management,1,hour
8,Warehouse Keeper,Sky Medical for Medical Devices,"Heliopolis, Cairo, Egypt",1 hour ago,Full,Entry Level · 3 - 5 Yrs of Exp · males_preferred · Logistics/Supply Chain· Warehousing· Warehouse keeper· Logistics· Inventory,1,hour
9,Junior Implementation Specialist,Confidential,"Cairo, Egypt",1 hour ago,Full,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Medical/Healthcare· Computer Science· Information Technology (IT)· SQL· Nursing· LIS· RIS· Pharmacy information system· PHM,1,hour
10,External Audit Manager - Riyadh,Confidential,"Riyadh, Saudi Arabia",1 hour ago,Full,Manager · 10 - 20 Yrs of Exp · Accounting/Finance· Auditing· Accounting· Finance· Financial Management· External Audit Management· Management· CPA· ESAA· external audit,1,hour
11,Administrative Assistant,Zewail City,"6th of October, Giza, Egypt",1 hour ago,Full,Entry Level · 3 - 5 Yrs of Exp · Administration · Operations/Management· Administration· Arabic· Office management· Secretary· Business Administration· Microsoft Office· English· Computer Skills,1,hour
